trial,a_hex,b,m,alpha,e
0,a90a00004d050000f9000000b5060000da070000e3050000a80a000007050000eb080000fa000000fd0c0000cd0b00001e0c0000cb080000360500008e0300002e06000038090000b60000004c030000ae0500002d0c0000140600004f090000b80500000a080000660c0000410c0000a30400008f000000aa010000c7050000,1464,0,6,3
1,8d0b0000d10700006e000000350600005808000063080000ef070000d4020000ed0900003a0900008a080000ef000000d9060000670800008a0b0000530c00006c05000010060000310c000059090000850500009d080000000a00004f050000ed05000036080000fb010000e70200008905000005020000aa0800005e0c0000,2930,0,2,-1
2,970300009a000000990a00004f0000006b0800001303000089010000d5010000940700007f040000d10300000f0400007c0300009b050000c607000092040000590600004a06000050080000d90c0000520c0000a5070000ce030000b7030000d9080000d80900002e0400002d010000cd0400000f0a0000020000000c020000,2316,0,6,1
3,e0070000c60b00007e0900000a0300008d0700003a090000bb0700003f04000001030000550300009a050000f70900008d07000085050000d7060000be06000075000000f10600005b040000e601000091060000ce0b000094010000bf0a00003d010000fc0a00002b08000002030000490b0000c9050000d90b000075050000,1730,0,5,1
4,b8070000c2070000f9030000650400007f020000d40b0000a60a000093090000e0090000b1020000b401000090040000650000007508000056010000fa0500008b000000eb000000560100009d050000f2090000810900004f0300003c070000e6030000fc0300000c0b000025040000d4090000bd090000040200004f050000,444,1,4,0
5,820c0000b60500009c040000a10c000049050000e0020000ed060000b20200001c030000210a0000d4060000910600002a0600001a090000e905000058090000440600008a0b000081070000bd0a00002c010000cf0300000a08000011060000ce01000069060000ec020000ea03000097010000fc0100000407000038020000,656,0,7,-2
6,650a0000ba020000c40400005e030000120b00009a050000ff0100008b010000f7040000cb040000cf0200002b0c00003a0200003c000000ae070000240c0000c7070000670a0000cb080000d2020000d20b00000a0c0000d4020000010000001c030000510700009a0c000050010000ba0c0000400400005e00000077080000,892,0,7,1
7,bf0900002b05000028020000dd0a00004b0800001e0a00000f0700006f000000d90800000f030000910600008a030000610500006905000055060000b30c0000f00400004f090000470300007d0c0000ab000000210a0000fa030000de050000eb040000cc0c000076070000700a0000cf04000013090000a50a000035090000,361,1,6,0
8,9c0c00007c050000e80400000a04000027020000b9040000b90800004e0400009d05000001070000c9060000ce0a0000b5090000e10c0000e7070000ae0400002e0b0000cf060000d7040000e404000050070000860300008b0800003f0a00007904000052050000db040000980800003b070000e8070000cc060000fc030000,2455,0,0,0
9,de060000640100005c0a00008f020000210c000027020000f7030000d30b0000bb0600008c040000be08000014080000aa080000d4030000980000006a0600001301000035010000ec0100003f050000290a0000a00500004e0a00006502000060000000fc0c0000e10b000077020000a6080000c70c000004010000e2090000,2947,1,3,3
