trial,a_hex,b,m,alpha,e
0,c7090000dc02000097020000a70900007e0b0000d7050000db07000079010000dd010000ba000000b60300004a0a0000ac0900009c0b00007d0c000074080000f20800005c000000cd040000780500009b060000ec0c000005070000aa060000400400001c040000af010000e2040000c50600003a0c0000e30b0000b5080000,2706,1,6,0
1,6e010000cc030000bb0b00000d0600001b0900006f07000097020000630a000044060000aa0b000021020000f006000086090000aa040000570b00007200000003050000780500005d020000b20a0000bd06000030010000e7060000aa000000b30a00006a060000ef0c00003f0c0000e10400002e0a0000b0040000ab090000,786,0,2,-5
2,360b000063070000560300008b0c0000450900005209000076060000b0000000bb0a00006a020000f3070000bf0b00002e06000018080000ae0c0000d5000000c1050000040a00009205000039020000e3030000d8000000d9030000830b0000c1060000c201000029040000160900003c070000440300001a090000eb060000,2352,1,6,-3
3,3a0c0000290b000017090000ab00000047090000c60400007a050000180400000a08000074070000c00c000071080000cd010000b7000000bb0c0000650500002d090000910a00009b0b00003f080000c80a0000db050000e20a0000e50500007102000040060000ab0300002e000000ac080000be0600005a0900006c070000,2841,0,5,-1
4,14000000f0080000f00000003308000091090000d00c00003c050000d60400003f03000089030000e80b00005f040000920a00009f060000b30c000001040000d2060000050b0000e00b0000530b0000280a000064060000f4000000e4000000550a0000f30900000109000039080000790a0000840c00005d0200002e000000,662,1,4,2
5,46040000800200005f0b0000e6060000b2000000cc070000b309000062070000ea0c0000da090000ab040000770200004e0300005f01000057090000960100000c0a0000b30a0000950b000007030000de070000050a00007c020000d60800009b090000ec0600002200000089030000f50300007d0300002107000071050000,1350,0,7,-7
6,22030000930c00005d0500009d060000bd040000a0090000ab0a0000df090000a1080000690b00002f03000046030000940400002604000049010000310200004a0300006e0a0000cb040000080b0000a60200006e0900005a0600007b0a00009e030000b9010000a40900001d0b0000780b0000a9010000b3080000c40b0000,2693,1,7,-1
7,6c070000210a00004a0b00005e070000110c0000c2090000d10200008a08000007010000cf0400006a0300002b07000053040000620b0000bd0c000012020000270300009d0a0000a40100004204000033040000a70a00006706000025020000b80c0000900b0000ff05000035090000fd0600009f070000d60c000022060000,261,0,6,2
8,0009000044070000bc060000f7040000220600002d0c00008d020000bf0b00007b0300004e0600009d000000be0600007a0c000087020000ed0800005908000082070000ca0900004f050000ef070000310b00009602000069080000010a0000f10400001a010000ee000000f80800003f0b0000460b0000f50000002d090000,1262,1,0,-2
9,df0900008e0000000f000000be010000bf03000017050000ec0600000e030000c205000089060000b5070000f40600005b0300002305000005030000610600000c030000c60200000f03000003020000db080000cf050000ad0a0000de080000ee0200005a0700002b040000130000002d07000023040000db0800006b000000,1788,1,3,3
10,fe0900001e0400004001000094090000a2050000f10c00005f000000d40c0000400200004f050000e40300005e070000930a0000590b0000f9000000a00400002b030000eb0c0000c40b0000ad010000e20a000002000000c4000000d8000000ca030000e9060000a20600002f010000450a00009a040000ba02000029050000,1491,0,5,2
11,b4060000660b00000e0100004902000007080000740500000f01000058010000f0070000840800004d0b00008605000077060000eb0700009504000067030000fa020000e4080000fc060000f9030000e1080000c6010000a8040000f5020000140c00005f0200002f040000bb0900003b0100005002000016040000cf070000,2010,1,1,3
12,7d070000a2090000a106000026090000640c000073050000c50a00006a000000380b000030020000c0000000f10a000018090000ed0800006f070000dd050000a00c0000ec080000d002000016070000db03000051040000340c000071030000f907000040050000d4070000f80600007f0400009b080000d50a0000a2090000,948,0,5,0
13,950000009b0400000b0a00007c040000890b0000b60200005603000047040000c10900003a0100004402000055030000df0b0000a8060000ad0b0000c105000080050000370b0000b60a0000d00b0000560100001c0a0000a0050000a60a0000dc00000044040000bd0a00004f0c000029030000490900004d0a0000f0020000,2657,0,0,-5
14,f9090000350a000055070000e6010000ff0b000051080000ed0c0000b3060000150000007703000022050000090300007f050000b90900000e05000070040000160a00001f0200003806000076010000d001000029080000e5060000a0010000820000008a0100003f060000ed090000420c000052060000ff0000004d090000,1415,0,2,-2
15,420000008e0900003f03000092080000e400000080060000570a0000320200008405000019090000f6030000a1000000b50a0000a40c00005f02000052070000b70500000e070000160800004c0500005a0b000036030000b6060000fd0c0000c401000068050000c90700007602000017070000da0600003e0a0000330b0000,1777,1,6,3
16,88010000bd0b0000c1010000c2010000aa000000f00c0000e90300006409000075060000c608000055010000610a0000b204000045070000e90800007f0200005c0a0000340900008603000069060000c20c0000a70500009e040000eb0600009c0a00000f090000d801000061080000f602000009050000b9050000300a0000,1079,1,7,3
17,3f060000d8000000e006000058010000da0500008e090000930700008209000021000000750700007c020000bf070000f807000008080000640500001d0b000008020000d200000096060000730800005f0b00009b0000000d060000ff0200008a0400002f070000bc060000260b000087080000180b00001800000002040000,2344,0,0,-4
18,d1090000fe0000007a0b000033030000a9070000e9060000870a0000dd090000eb050000110300009a0500009d0300001d00000068010000110b0000f5050000b70b0000be0100005105000003010000860c00006b040000f50a0000bc010000990b0000080c000018040000e70500002b0c00000c090000180000000f0c0000,863,1,5,2
19,20010000160c0000960b0000c605000086070000c30100003a0b0000640600009e070000de0b000028090000180c0000430500005b0c00003f040000cf0500001e0900006301000094070000f90c00009e0b0000680200007e0a00005b06000086060000a1040000a3090000040c00008b0000005306000078090000910c0000,918,1,6,2
20,7e0c0000c1070000460c0000880700008b0c00003c0200009101000025030000f0020000980c00005507000011070000ee0600001f070000580900004a070000f60000001f0a0000a0050000250a0000a00400005102000078040000990700003c010000bb0b0000e90800001e070000850500004d0c0000a2060000d3020000,1372,1,2,1
21,d40300000900000074020000ea050000910c0000c70c00000b020000d7020000a9080000a9030000e20300008f0a000092050000a3000000450400009d030000900a0000af090000bb090000240c0000090500003108000098050000240200007b0c000029090000600a0000c808000086030000c70c00008d0a0000d00b0000,1441,0,7,-1
22,53000000090900007c090000e60a0000e40a00005a0300004302000029050000890500000d0b0000910c00008c090000d407000015080000340a0000bb050000ed030000dc050000020200000b000000e20700000a0000001500000070070000ee060000280400009f04000035030000d60b00007b070000df030000f4060000,1667,1,0,-4
23,9a01000094010000260a0000110c00008100000025070000ad070000ad000000b406000087030000330500005f04000033000000320700009f040000980200004d0a0000b6090000780a0000fa0400002a07000066010000b30200001606000084000000a6030000f8040000770300000f0900006c0300002c0200006b000000,2257,1,0,7
24,c90a00004e03000053030000a7050000f3080000450500004e04000041080000640700000a07000091040000c4000000f6050000ff050000c60c0000b5060000830600002b05000071030000c6050000d50500007c010000db0300003f010000850000007e020000410c0000da010000ca09000080040000e303000013080000,2187,1,1,-4
25,e3020000f8040000900400004c0900009b09000084050000ba0c0000600c0000a80700001200000045020000280c0000dc0b000018000000c2080000050300002a0800004809000071000000e60a000086070000220a000015020000bc0c0000d10a0000d40c0000640a0000d1010000e60b000091070000a4020000e3090000,960,0,6,1
26,08070000620900007e0900003d07000055080000110600008d00000022030000f80a00000106000097090000810400007404000099000000db0500009402000060060000d30c000095020000fd0b00006a0b0000b80b0000320400004101000077000000910100008805000066040000740500008b0700008103000080090000,1975,1,6,2
27,680700004606000091060000810b00002c04000074050000d5090000eb0a00005b050000e4090000f10b0000c9090000810b0000cf0100007e020000850900003302000056080000be0400000507000027060000f3040000cf0c0000c10300004b050000e3080000d2090000c6070000790200004b030000d307000017050000,2585,1,6,-1
28,ea0900000400000022080000d901000005020000e60200007c0100009506000024060000a3060000e30400002f0a000026000000ac050000e4090000ac0b000063090000e20400001c0b0000ce0300003e050000bc060000ca040000060300004e070000770a00005a0c00006a0a0000830a00009b0200000e030000f3030000,2789,0,7,-4
29,aa0b0000cb0800007e01000081020000740c0000530c000038090000fc0a0000c60b000041080000800b00008f0c0000da0100003c050000a7040000620a0000af0700003505000025050000930400001c09000019060000730500005f0800004a090000ca000000cd000000fe080000940c0000ab04000070070000ce080000,225,0,3,1
30,6c010000be060000a50a00007b0000002a0400006d0300007b020000e90100005c0800005e01000007010000060a00008f080000b9010000c804000011040000490a00003d0700000101000022010000f90300009a07000037010000970c0000eb05000040070000a1030000820400001f0a0000d50900006d0b0000b6050000,2905,0,5,1
31,c40800005e0700000102000030090000b10200005100000068030000300c0000120b0000d0000000a20b000043020000f6060000f20000004b0800009c0000007807000019020000a30600003a040000a906000007090000e7010000880500007c0c0000b205000086070000f3030000070c000020030000120a0000e10b0000,517,1,3,-3
32,0e080000850c00001c040000940a0000e80700005306000076040000b0050000ad000000430a0000530300004409000059040000f30900005b080000f5020000d20400007c0b00002b080000e1080000bb050000770600002f07000040040000ea090000180a00002c06000046020000f80200003d0c000074040000c2050000,1389,1,2,-3
33,c30400008c0200006b010000170c0000530800008604000004020000a50a000074060000c106000028030000b6050000750a00005d0a000035010000180a0000d20b00001a0100006a0700000a060000be000000b10a0000380800004809000082070000400b0000050c000070050000d10100001a00000029050000970c0000,334,0,1,-4
34,86080000a80400008d090000400300008a010000fb08000012050000a4080000bb030000a00700005f090000c60b0000e90a000055000000f1020000a4060000db07000068020000cf010000fe0a000057080000ce040000b8040000fe06000047030000c3000000670700004f0900006e0b0000fb0b00004b0b00007e010000,2237,1,5,-2
35,bf020000c702000022080000ea060000f305000001050000cc0400007e0900007c040000b2030000db0a00005407000059020000a40a0000ba0600005d0b00004905000021040000b70a0000bf010000780c0000d900000093020000d00900009a0600001f0700006a0c00000a04000042070000000300006e0a0000b4040000,2936,1,3,1
36,010100002e0200004e090000870700005f040000870b0000ec030000800b0000ea09000019060000a70400003a030000e4010000c0050000070700009c0a0000b9020000b50400001e08000072050000f4070000aa05000003000000c00a0000630200004b0c000042050000cc0600007d0a0000ba0400006a0a0000df0c0000,170,0,3,1
37,8803000082020000dc02000084040000f0030000b4000000f0070000ef0c0000180400001d0700001603000071020000b2060000440a0000910c0000850000004e080000f505000020070000da0800002500000097090000f20000005c050000b30200005906000033050000a8020000b3070000de0a00005e0000005f000000,566,0,4,3
