trial,a_hex,b,m,alpha,e
0,180700003304000023050000a9000000040a00009902000053080000c20b000007040000860a00004b02000013010000d10800002c0c0000fe05000075080000460400000d0c000020050000cb0a0000260800005004000072080000e8010000120c0000d30a0000d00b0000120800007302000070000000e40c000008080000,505,1,6,0
1,1c0400008d090000af0a00000903000051000000e1050000810300003f0b0000220400007b010000720200001a040000900a0000870600000c07000054090000ce030000e7060000d3000000fc060000e90a000089080000d9050000310a0000e80c0000970b0000a70100008a070000ac0a00001b0200003a0b0000c4010000,3256,1,2,0
2,530600004f070000c6010000620200001f06000028050000f9000000d2020000a0090000980b00008d0a00008c070000aa0a00007b010000f1010000ad050000f20c0000ed0500002a020000d307000005010000180600006b0a00000e020000a80000005d0c0000f50a0000b704000098000000390800002106000092070000,2245,0,6,0
3,0e070000170b0000a20900009d0000006600000067090000230b000043080000ab090000240500002d0a00003903000047050000930300009d0c00009b040000e00000004d030000e00100007a0100002e070000100c0000b80300002e020000cf010000320200000204000050050000ff0c00001b010000db05000016080000,1935,0,5,0
4,4f04000000060000a20900007c0200003c0100003d0a000056030000f60300005507000041040000960000000a010000340500007c060000700b00001e040000dc0700005e040000430900000f060000710400000003000073060000a00a00006806000023090000eb0a00006102000022010000dd090000030c0000c6020000,1203,0,4,-1
5,a1000000c60a0000740b00007a0200007709000015090000b70a00005401000093060000870c0000dd060000d80500007f0b0000e5030000c90400002c0b000030020000e105000054080000230a0000d50a00000f080000f6010000dc02000024040000ea0b0000b30a0000e10400003408000004000000b80b00000c020000,151,0,7,1
6,16040000ac090000d3040000d6050000370b0000e405000005070000f6070000620500002407000005000000d9000000be000000dc0c0000d0010000960a0000f90800001e0200005e070000fd0600004d0b00003a02000094010000b60b0000a20b0000a20000002d060000ad040000b205000099050000ab040000dd080000,3050,1,7,0
7,1f060000e40100006b01000048080000fd040000ed090000a0040000c1050000f7090000a7070000a70300001c0700007c020000c0020000d2090000640400006a080000d20b00005c0000003b0800004e0b0000310100006007000072000000d906000003080000d6070000680c000032040000de0000006e080000e9040000,2299,0,6,-1
8,8c0000008a070000740a0000f60700002b07000028070000bc080000a1060000f80c0000c50900003d040000a80b0000840100004f040000b400000041050000e7060000dd0b000050020000c90b0000a104000090020000c3010000da0c0000690100007b0600003905000029010000630a0000bd0100001b010000bc000000,1252,0,0,2
9,890200005300000064000000de0a000063020000dc0c000097090000980500009608000006070000fc0300008d08000067050000d802000068030000bc070000a9040000c70c00005c0600007a0c00001e020000530c00001f0a0000ff060000650b0000d80c00009a0700008f080000c60a0000940b000074080000eb0c0000,119,1,3,-1
