trial,a_hex,b,m,alpha,e
0,36070000c50900006f000000f50500004d0600006b000000c801000066050000a7050000c1090000f10200002c070000680200001109000024020000040c0000520700008100000071060000750c0000d5060000cc08000072060000a9070000650b000069040000290600007c0800004a0a0000fd0500003007000059050000d90b0000050400004a02000078070000f6040000a20700001b000000900600009b0400009c0200003d040000630a00006e090000e1000000f80b000023040000bd080000a605000089010000200c000011000000220100001e050000c50c00000e0c000005050000b304000007010000f9050000910b0000b302000060090000,3044,1,6,0
1,e402000012010000cf0a0000b4060000ac0100001f0900003b090000a6030000d1020000ba0500005a0900004702000081080000ae060000360b00000a020000e70a00002b090000e80800000708000046080000d002000042030000580a0000bf0b0000280500000f030000fd090000da030000e40400005102000095050000b60400008c0c0000cf000000a60c000018050000cd060000970200001b0b0000a10a000042010000a70a00003d090000f50800004706000006050000200a000052000000760200003d020000660400005a0a0000dd080000670b0000a60b00009e0900008b0a0000220a00009d090000320a0000f40b000096020000ab050000,366,1,2,-2
2,0d0b0000a00200000e020000450400005c0100001e0c0000af0300006b06000065070000b60a00005a0900007d080000e104000083020000620c00002e0a00001e08000030090000a90a0000740600000000000054080000660c0000e2050000e0020000d6080000de0100003f09000054070000c7050000e0070000b90b0000a90b0000640100005d020000b508000054070000430300009f0c0000450a0000f10a000067080000530000001d020000680700005e070000c508000078010000a90900003805000069090000dd0300003f0b000038000000c4000000b90a00001b0400008f0b0000a805000002040000200c0000c40a00009c050000380c0000,2249,1,6,0
3,4f04000054060000030700008c020000e70a0000ba030000160800002d05000035000000330300002f030000ec020000e3070000580b0000b50c0000660400008807000085080000a6010000dd090000bf03000052070000bb020000ec0a0000cc030000f1000000a20700008c040000490a00002e000000a20b0000db090000520b0000ee01000095090000620b00002c0c0000e80b0000f0080000e6080000c5060000de030000570600009e060000750300003d0900005b0600008c0c000025030000e10800008c0300002b000000560900001e09000079060000210a0000100400001d020000830c00000b0c00007e0800008a03000079070000010a0000,2571,1,5,1
4,e10200001808000030040000a1010000030b0000d40500007002000034030000b505000025090000bc060000860c0000ad070000be0500009d0c0000c7060000ce090000340000000a0c000002040000dc0c00004407000004060000650a00007a0200006c060000cc0c0000c902000040090000430100001a06000003000000fb0200006c0c0000ce0700000c0c00002b0a0000c6000000440200009f000000080000007b0300007d0a0000420500003e090000ad050000d602000073060000c30a0000f90c0000350b0000b505000012080000f6090000230300003100000076080000f6060000d4040000ba090000ff010000b50300000e040000290c0000,65,0,4,-2
5,f10a0000fc0b0000100c0000d6050000790900007a040000ae090000df000000cc040000830c0000580c0000020b0000650000006f0c000009040000d50800007d050000cd09000021050000520a0000bb0b0000eb0b0000dd0800006c060000640b0000b80500005d040000c4010000550b0000270b0000d00c00002d080000490c0000e50b0000950a0000bc0b0000a9060000da07000073010000c10a000024090000ee030000db0c0000fe0700001c040000c608000032060000c30c00008307000010070000e10c00004c0800004b09000014080000bc090000840500005506000007080000100c0000f0010000dd000000d7070000f70400008c0b0000,2948,1,7,2
6,04090000f50b00003f0600003f0c0000e90c0000ee0a0000150b0000b800000028020000750800000c0b0000730c0000b105000044070000c60c00005e0800005d03000058060000b80100000006000091070000cf090000360900007b010000fa0800002c0500007f0000009902000075090000010900004d000000e6050000c80a0000010900002d04000054020000e6070000d4010000d20700009f030000a70a000079080000c70600007e01000097060000f2030000b3020000d00a0000920c0000310a000088020000bb09000037080000890b0000940700005f010000af060000db0c00000600000033070000000c00008505000012040000d5050000,2960,0,7,-2
7,fd0b0000d70b0000df0300006f0a00001f0300003e0a00001e0000009106000063030000140000004d0a0000820b0000ae0700008805000050030000b5010000cd0c00009d0300002f0c0000a806000036090000630b00008c030000cb04000087050000de050000360b00005c020000b302000052080000920000003e0c0000290a00001e01000039030000ad010000dc030000410400008903000029080000370b0000d80a00006f0900005a02000004070000300b0000b5090000350b0000fd070000f4070000e4050000ac020000c90c0000180b0000f2090000d1060000f9070000f30100005f060000b90600006607000080090000e20300001a000000,301,0,6,-1
8,c1040000f90c00000f000000070b00003f04000022070000fa0900006c0c0000ca020000e80a0000d1070000d10200005800000004020000ef0a0000f1070000a80500005b0a0000970b0000060100000c0c00001f090000d40a0000490100008c0800004d040000c40c0000340700001b0200007b00000064030000950b00008c0000003f010000640c0000270300002d0b00001c0c00004a090000bf0400000c0500009a0500007c070000970500005c0300002903000040020000e005000077090000630c00009d000000480c0000070100008b000000120a0000f60c0000e8020000b7030000000200004b0b0000780b0000080700001b07000014000000,1719,0,0,-2
9,020b000048040000580a0000080c000040050000fd080000c30200004a0400006c0a00006a0a0000cf040000410a0000380a000065070000cb000000ad0600000a060000c801000061080000bb0a0000ae0000003302000082090000500900007d0500003c060000530a0000300a0000180c00000701000089070000320900009205000065010000ac020000c10a0000f70400006000000072010000db0800008f0500009c04000028070000e6070000a4020000df090000ed0200004b060000e800000084000000430500002f0c0000500800007403000082020000a50a000068050000e3020000440a000033010000170900001d0100002e050000cf060000,1108,1,3,-1
