trial,a_hex,b,m,alpha,e
0,c20500007e0700003a0a000098060000d40100005b0c0000a30500000c040000a6010000d70100003d0700004a0900007f0c0000800300005d0b0000b2060000,853,1,6,0
1,760800000e0b00005a080000400800000e000000000a00005904000004030000a50a0000df0a000064050000b00c00006d000000c10800002904000057090000,2093,1,2,2
2,7a020000ae040000260b00009d060000a80c000095040000b309000077030000aa090000da0c0000e302000032090000f60c0000600000009b0b00008d080000,588,1,6,-1
3,c60900009e0300003807000027080000dd0c000014070000290b0000a2080000310b0000d704000081030000550c0000ad0500003307000009030000170a0000,1701,0,5,-2
4,9a0900008d060000ea0b0000f40800005a02000020060000e4040000b8030000c4070000f5060000ce0b00009b050000ee0c00003d0300005b0100008a080000,2522,1,4,-1
5,290900008906000014000000250300009f0000002b0c0000d804000052090000c80600006f050000820700004f0c0000f8090000170b00009404000013050000,2428,0,7,-1
6,8d090000830b0000d706000053070000910600004f0c0000ce060000b40000005a020000180600005104000045000000f4000000e7050000840a000043020000,1243,1,7,-2
7,0b0b0000cf0100009402000032000000160500000f09000013060000700800008d01000034090000db010000fc0900003c0a00001a0a0000f902000029070000,2472,0,6,0
8,d40c00008d020000990c0000e00a0000450a0000ff0b0000df040000280a0000e20200007f050000ec080000cc040000b00300002b040000e50900006b030000,1202,1,0,-1
9,750000009f0100006b080000bf020000d2090000000700007a030000a90b00000e00000000090000c50a00001a0800002c0100005900000002060000e70c0000,2330,0,3,0
10,6c0c0000eb050000970600004a010000ce060000bb040000e0070000ea050000200900000f060000450c0000620000004a090000190000000b03000070060000,1129,1,5,-2
11,4e0b000007010000e601000085070000b60700004d020000f70b00001b06000027090000d50a00006a0b0000800300006d02000019050000220900006e070000,393,0,1,-1
12,b3070000a2010000b00c0000e70700001d0000002f02000074070000ab02000077090000a50300007407000071020000ee05000090000000870c0000f50c0000,2480,0,5,2
13,d70100007c070000f7020000340a0000ca040000890c00007409000062040000e90100008202000022040000f70c00006206000000050000f80c0000d8010000,1530,1,0,0
14,4a060000d50b00008e03000044040000590a00000108000090000000a1040000f80800008a0300008d0c00004b060000820900001b030000fd020000dd020000,2143,1,2,0
15,49060000cc080000ae020000b2000000e408000059070000570a0000a90800002800000052060000d100000066030000d50c00001f01000025080000af010000,944,1,6,-1
16,4f080000040600007e060000ff010000cf060000cb050000b00b0000e7050000e3030000870600000e0a00007f040000070c00001501000050030000ea040000,3079,1,7,1
